wavelength, A
5.041011353e+02,-3.518445417e-03
5.042580261e+02,1.308190054e-03
5.044149475e+02,-6.599525805e-04
5.045718384e+02,2.339121886e-03
5.047287598e+02,-2.815537388e-03
5.048856506e+02,4.647003370e-04
5.050425720e+02,-4.455656279e-03
5.051994934e+02,2.854587743e-03
5.053564453e+02,-1.737745013e-03
5.055133667e+02,4.541567061e-03
5.056703186e+02,-4.830540624e-03
5.058272705e+02,1.214468968e-03
5.059842224e+02,-2.956118900e-03
5.061411743e+02,1.964237541e-03
5.062981567e+02,-5.111703649e-03
5.064551086e+02,1.401911140e-03
5.066120911e+02,-4.361934960e-03
5.067690735e+02,4.072961863e-03
5.069260559e+02,-2.581234789e-03
5.070830688e+02,1.917377114e-03
5.072400513e+02,-2.628095215e-03
5.073970642e+02,3.709792800e-04
5.075540771e+02,-3.237282159e-03
5.077110901e+02,1.870516571e-03
5.078681030e+02,-4.549377132e-03
5.080251465e+02,2.714006230e-03
5.081821899e+02,-1.550302841e-03
5.083392334e+02,2.104819287e-03
5.084962769e+02,-3.049839986e-03
5.086533203e+02,1.120747882e-03
5.088103638e+02,-3.377863904e-03
5.089674377e+02,1.917377114e-03
5.091245117e+02,-2.862398047e-03
5.092815857e+02,1.917377114e-03
5.094386597e+02,-4.502516706e-03
5.095957336e+02,1.261329511e-03
5.097528381e+02,-2.159489784e-03
5.099099426e+02,1.917377114e-03
5.100670471e+02,-1.784605556e-03
5.102241516e+02,1.589353313e-03
5.103812561e+02,-3.846469335e-03
5.105383911e+02,2.854587743e-03
5.106954956e+02,-1.128557953e-03
5.108526306e+02,4.354124889e-03
5.110097656e+02,-5.111703649e-03
5.111669312e+02,1.823656028e-03
5.113240662e+02,6.990030524e-04
5.114812317e+02,2.385982545e-03
5.116383667e+02,-3.377863904e-03
5.117955322e+02,2.526564058e-03
5.119527283e+02,-3.518445417e-03
5.121098633e+02,1.683074399e-03
5.122670898e+02,-3.284142818e-03
5.124242554e+02,1.636213856e-03
5.125814819e+02,-1.913472079e-04
5.127386475e+02,3.698077518e-03
5.128958740e+02,-5.486587994e-03
5.130531006e+02,3.744938178e-03
5.132102661e+02,-1.409721212e-03
5.133674927e+02,9.333057096e-04
5.135247192e+02,-3.799608676e-03
5.136819458e+02,1.073887339e-03
5.138392334e+02,-3.518445417e-03
5.139964600e+02,1.917377114e-03
5.141536865e+02,-1.081697410e-03
5.143109741e+02,4.166682716e-03
5.144682007e+02,-1.269139582e-03
5.146254883e+02,1.355050597e-03
5.147827759e+02,-2.674955875e-03
5.149400635e+02,4.307264462e-03
5.150973511e+02,-2.300071530e-03
5.152546387e+02,3.932380117e-03
5.154119263e+02,-1.409721212e-03
5.155692139e+02,1.683074399e-03
5.157265015e+02,-2.628095215e-03
5.158838501e+02,3.838659264e-03
5.160411377e+02,-2.393792616e-03
5.161984863e+02,3.135751002e-03
5.163558350e+02,-2.628095215e-03
5.165131226e+02,3.604356432e-03
5.166704712e+02,-1.644023927e-03
5.168278198e+02,5.115608801e-04
5.169851685e+02,-2.300071530e-03
5.171425781e+02,2.573424717e-03
5.172999268e+02,-1.831466099e-03
5.174572754e+02,2.011098200e-03
5.176146851e+02,-2.346931957e-03
5.177720337e+02,3.088890575e-03
5.179294434e+02,-3.096700646e-03
5.180867920e+02,3.416914260e-03
5.182442017e+02,-6.002054084e-03
5.184016113e+02,5.197614897e-03
5.185590210e+02,-1.690884470e-03
5.187164307e+02,1.120747882e-03
5.188738403e+02,-4.268214107e-03
5.190313110e+02,-1.034836867e-03
5.191887207e+02,-7.689033635e-03
5.193461914e+02,4.307264462e-03
5.195036011e+02,-5.299145821e-03
5.196610718e+02,3.182611661e-03
5.198184814e+02,-4.408795852e-03
5.199759521e+02,1.308190054e-03
5.201334229e+02,-3.752748249e-03
5.202908936e+02,4.447846208e-03
5.204483643e+02,-2.850682940e-04
5.206058960e+02,1.073887339e-03
5.207633667e+02,-2.862398047e-03
5.209208374e+02,2.292261459e-03
5.210783691e+02,-1.644023927e-03
